"IGN";"NPL";"cdom";"essmaj_mature_40_code";"typologie_mature_simplifiee";"fa_mask";"hdom_mean_m";"hdom_median_m";"n_pix_hdom"
5956;100;189,9837861651;"1-72%;3-28%";"Chenaie";1;23,6187505722046;23,2000007629395;16
5956;101;132,9297516812;"1-100%";"Chenaie";1;23,4277778201633;23,6000003814697;18
5956;112;192,8574220064;"1-100%";"Chenaie";1;28,7222219043308;28,6000003814697;18
5956;115;168,6108679624;"1-100%";"Chenaie";1;23,2952378590902;23,2999992370605;21
5956;117;221,9830367598;"1-72%;3-28%";"Chenaie";1;27,5777772267659;27,7999992370605;18
5956;120;213,7964411176;"3-71%;1-29%";"Hetraie";1;28,3631579750463;29,6000003814697;19
5956;138;214,3176624592;"3-73%;1-27%";"Hetraie";1;31,0277784135607;31;18
5956;139;202,781290334;"1-100%";"Chenaie";1;24,7400000572205;25,1000003814697;20
5956;143;153,8054339812;"1-75%;3-25%";"Chenaie";1;19,6750001907349;19,1999998092651;16
5956;152;204,893682652;"1-100%";"Chenaie";1;27,9833331637912;28,3999996185303;18
5956;154;205,4996188088;"3-54%;1-46%";"Hetraie";1;26,3437496423721;26,7999992370605;16
5956;157;218,813944641;"1-83%;3-17%";"Chenaie";1;26,6250001192093;27;16
5956;159;174;"1-100%";"Chenaie";1;29,5562508106232;27,7000007629395;16
5956;176;191,9185268608;"3-51%;1-49%";"Hetraie";1;27,3062492609024;27,2999992370605;16
5956;193;282,3923896384;"1-57%;3-43%";"Chenaie";1;29,731250166893;30,1000003814697;16
5956;194;236,813944641;"1-54%;3-46%";"Chenaie";1;26,9124995470047;26,7999992370605;16
5956;195;221,7250281552;"1-54%;3-46%";"Chenaie";1;29,3095236278716;29,3999996185303;21
5956;200;37;"11-100%";"Autres peuplements feuillus";1;29,6111110051473;28,3999996185303;18
5956;213;230;"1-100%";"Chenaie";1;27,5666664971246;27,6499996185303;18
5956;216;203;"1-100%";"Chenaie";1;22,5142857687814;23;21
5956;219;193;"14-50%;1-39%";"Autres peuplements feuillus";1;23,7882354960722;24,1000003814697;17
5956;220;69;"13-100%";"Autres peuplements feuillus";1;19,6555553012424;20,8999996185303;18
5956;232;245;"1-100%";"Chenaie";1;29,2523814610073;30,1000003814697;21
5956;233;221;"1-76%;3-24%";"Chenaie";1;27,849999666214;27,6000003814697;16
5956;234;245,648758406;"1-100%";"Chenaie";1;28,4761904761905;28,1000003814697;21
5956;235;196,8893006028;"3-56%;1-44%";"Hetraie";1;28,9499996900558;28,7000007629395;16
5956;237;143,4806087376;"11-56%;3-44%";"Autres peuplements feuillus";1;22,8624999523163;22,75;16
5956;239;255,0295637504;"3-74%;1-26%";"Hetraie";1;29,575000166893;29,5;16
5956;252;204,9723813472;"1-75%;3-25%";"Chenaie";1;29,0187495946884;28,7999992370605;16
5956;254;121;"3-100%";"Hetraie";1;26,4437503814697;25,1000003814697;16
5956;256;224,7861330096;"1-76%;41-24%";"Chenaie";1;28,5687501430511;28,4499998092651;16
5956;258;184,9351446604;"1-75%;3-25%";"Chenaie";1;25,8875000476837;25;16
5956;273;224,7148440128;"1-50%;3-50%";"Chenaie";1;30,2999994754791;29,8999996185303;16
5956;274;254,8268695792;"3-100%";"Hetraie";1;31,2999994754791;31,7999992370605;16
5956;275;226,9185268608;"3-73%;1-27%";"Hetraie";1;28,1777777141995;28,5;18
5956;294;197,802322505;"1-100%";"Chenaie";1;30,4062502384186;31,2000007629395;16
5956;296;209,840523978;"1-78%;3-22%";"Chenaie";1;27,5666670269436;27,2000007629395;18
5956;298;223,5754341408;"3-100%";"Hetraie";1;29,3714287167504;29,1000003814697;21
5956;299;203,9545108008;"3-84%;1-16%";"Hetraie";1;26,1416660944621;26,2999992370605;12
5956;312;268,2957243536;"1-76%;3-24%";"Chenaie";1;29,2380946931385;29,2999992370605;21
5956;313;176,8134043578;"3-100%";"Hetraie";1;26,4999998807907;25,8999996185303;16
5956;314;194,696738672;"3-79%;1-21%";"Hetraie";1;28,9444449742635;28,7000007629395;18
5956;315;186,9723813472;"3-72%;1-28%";"Hetraie";1;29,556250333786;29,7000007629395;16
5978;14;288,469292676;"1-56%;41-23%";"Chenaie";1;29,3000004291534;29,2000007629395;16
5978;16;245,7365688045;"1-80%;3-20%";"Chenaie";1;29,2312506437302;29,2000007629395;16
5978;31;221,8066694304;"1-55%;3-45%";"Chenaie";1;27,1812500953674;27;16
5978;32;231,8655793034;"1-100%";"Chenaie";1;28,2388887405396;28,3999996185303;18
5978;34;195,684086038;"1-79%;3-21%";"Chenaie";1;26,6888886557685;26,2999992370605;18
5978;39;245,351446604;"3-100%";"Hetraie";1;29,1500001483493;30,1000003814697;18
5978;40;98;"3-100%";"Hetraie";1;23,6055556403266;23;18
5978;51;167,9627889282;"3-100%";"Hetraie";1;29,4888887405396;29,3999996185303;18
5978;72;274,87968044;"1-48%;3-37%";"Autres feuillus nobles";1;29,1611107720269;30,2000007629395;18
5978;73;190,8899284784;"3-100%";"Hetraie";1;27,4062502384186;29,6000003814697;16
5978;74;147,9083427184;"1-100%";"Chenaie";1;27,1736844715319;27,3999996185303;19
5978;75;231,648758406;"3-100%";"Hetraie";1;31,137500166893;31,5;16
5978;77;237,4389665432;"1-57%;3-43%";"Chenaie";1;26,1624997854233;26,3999996185303;16
5978;92;214;"1-100%";"Chenaie";1;26,4437500238419;26,6000003814697;16
5978;93;187;"3-100%";"Hetraie";1;30,5277777777778;30,8999996185303;18
5978;96;232;"1-57%;3-43%";"Chenaie";1;24,4812500476837;25;16
5978;110;184,5824501616;"1-100%";"Chenaie";1;26,1444442537096;27,2999992370605;18
5978;111;201;"1-100%";"Chenaie";1;25,9764703862807;25,7999992370605;17
5978;112;177;"3-69%;1-31%";"Hetraie";1;23,8263159300152;23,1000003814697;19
5978;113;256,6512494728;"3-100%";"Hetraie";1;28,6312495470047;27,2999992370605;16
5978;117;188,8216478161;"1-100%";"Chenaie";1;26,4823524250704;26,5;17
5978;129;206,6133388608;"3-52%;1-48%";"Hetraie";1;27,999999887803;27,7999992370605;17
5978;130;212,8028801368;"1-82%;3-18%";"Chenaie";1;26,8190478370303;27,5;21
5978;132;248;"3-100%";"Hetraie";1;30,285714104062;30,8999996185303;21
5978;142;223,8180432032;"3-79%;1-21%";"Hetraie";1;26,3666663396926;26,3999996185303;21
5978;143;196;"3-52%;1-48%";"Hetraie";1;33,3874998092651;34,0999984741211;16
