terr_id;n_in_mask;n_eligible;n_keep;n_removed;quantile;area_in_mask_ha;area_eligible_ha;area_keep_ha;area_removed_ha;prop_keep_vs_mask_pct;prop_keep_vs_eligible_pct;prop_eligible_vs_mask_pct
07;58148;57617;11356;46261;q80;581,48;576,17;113,56;462,61;19,5294765082204;19,7094607494316;99,086812960033
08;305872;304613;58351;246262;q80;3058,72;3046,13;583,51;2462,62;19,0769341423864;19,1557812700049;99,5883899147356
09;74629;71086;13657;57429;q80;746,29;710,86;136,57;574,29;18,2998566241006;19,2119404664772;95,2525157780487
10;1004269;1003700;196244;807456;q80;10042,69;10037;1962,44;8074,56;19,5409795582658;19,5520573876656;99,9433418735419
11;60683;59500;11485;48015;q80;606,83;595;114,85;480,15;18,9262231596988;19,3025210084034;98,0505248586919
12;114767;113532;22018;91514;q80;1147,67;1135,32;220,18;915,14;19,1849573483667;19,3936511291971;98,9239066979184
13;412932;412515;80449;332066;q80;4129,32;4125,15;804,49;3320,66;19,4823845088295;19,5020787122893;99,8990148499026
14;478882;478247;92912;385335;q80;4788,82;4782,47;929,12;3853,35;19,4018568248546;19,427617946375;99,867399484633
15;88865;85854;16828;69026;q80;888,65;858,54;168,28;690,26;18,9365892083497;19,6007174971463;96,6117143982445
16;511089;510440;99461;410979;q80;5110,89;5104,4;994,61;4109,79;19,4606027521625;19,4853459760207;99,8730162457028
17;613774;613637;117771;495866;q80;6137,74;6136,37;1177,71;4958,66;19,1880073121377;19,1922912079943;99,9776790805736
17';935318;935284;183972;751312;q80;9353,18;9352,84;1839,72;7513,12;19,6694600125305;19,6701750484345;99,9963648726957
18;835236;833594;163130;670464;q80;8352,36;8335,94;1631,3;6704,64;19,5310068052622;19,5694786670729;99,8034088568979
19;1058536;1057942;205475;852467;q80;10585,36;10579,42;2054,75;8524,67;19,4112434532222;19,4221422346405;99,9438847615953
20;1582195;1582184;311600;1270584;q80;15821,95;15821,84;3116;12705,84;19,6941590638322;19,6942959858019;99,9993047633193
21;725541;723697;142039;581658;q80;7255,41;7236,97;1420,39;5816,58;19,5769777311;19,626860412576;99,7458448247584
22;882195;882161;171437;710724;q80;8821,95;8821,61;1714,37;7107,24;19,4330051745929;19,4337541559874;99,9961459767965
23;308997;307504;60267;247237;q80;3089,97;3075,04;602,67;2472,37;19,5040728550763;19,5987694469015;99,5168237879332
24;126706;124149;23961;100188;q80;1267,06;1241,49;239,61;1001,88;18,9107066752956;19,3001957325472;97,9819424494499
25;1025776;1025747;201716;824031;q80;10257,76;10257,47;2017,16;8240,31;19,6647221225687;19,6652780851419;99,9971728720501
26;210827;208747;40100;168647;q80;2108,27;2087,47;401;1686,47;19,0203342076679;19,2098569081232;99,0134090984551
27;161615;161067;31533;129534;q80;1616,15;1610,67;315,33;1295,34;19,5111839866349;19,5775670994058;99,6609225628809
01;242652;241030;23682;217348;q90;2426,52;2410,3;236,82;2173,48;9,75965580337273;9,82533294610629;99,3315530059509
02;1096019;1096019;107390;988629;q90;10960,19;10960,19;1073,9;9886,29;9,79818780513842;9,79818780513842;100
03;53956;52312;5034;47278;q90;539,56;523,12;50,34;472,78;9,32982430128253;9,62303104450222;96,9530728741938
04;222970;221592;21505;200087;q90;2229,7;2215,92;215,05;2000,87;9,64479526393685;9,70477273547782;99,3819796385164
05;859348;858223;83859;774364;q90;8593,48;8582,23;838,59;7743,64;9,75844477441037;9,77123661332777;99,8690867960361
06;453406;453395;43462;409933;q90;4534,06;4533,95;434,62;4099,33;9,58566935594147;9,58590191775384;99,9975739182984
07;58148;57617;5617;52000;q90;581,48;576,17;56,17;520;9,65983352823829;9,74885884374403;99,086812960033
08;305872;304613;29990;274623;q90;3058,72;3046,13;299,9;2746,23;9,80475493016687;9,84527909183127;99,5883899147356
09;74629;71086;6915;64171;q90;746,29;710,86;69,15;641,71;9,26583499711908;9,72765382775793;95,2525157780487
10;1004269;1003700;97928;905772;q90;10042,69;10037;979,28;9057,72;9,75117224568318;9,75670020922586;99,9433418735419
11;60683;59500;5837;53663;q90;606,83;595;58,37;536,63;9,61883888403672;9,81008403361345;98,0505248586919
12;114767;113532;10942;102590;q90;1147,67;1135,32;109,42;1025,9;9,53409952338216;9,6378113659585;98,9239066979184
13;412932;412515;39993;372522;q90;4129,32;4125,15;399,93;3725,22;9,6851297550202;9,69492018472056;99,8990148499026
14;478882;478247;46855;431392;q90;4788,82;4782,47;468,55;4313,92;9,78424747641381;9,79723866537584;99,867399484633
15;88865;85854;8284;77570;q90;888,65;858,54;82,84;775,7;9,3220052889214;9,64893889626575;96,6117143982445
16;511089;510440;49813;460627;q90;5110,89;5104,4;498,13;4606,27;9,74644337874617;9,75883551445811;99,8730162457028
17;613774;613637;59136;554501;q90;6137,74;6136,37;591,36;5545,01;9,63481672407108;9,63696778388526;99,9776790805736
17';935318;935284;88468;846816;q90;9353,18;9352,84;884,68;8468,16;9,45860124577951;9,45894509047519;99,9963648726957
18;835236;833594;81599;751995;q90;8352,36;8335,94;815,99;7519,95;9,76957410839571;9,78881805771155;99,8034088568979
19;1058536;1057942;100953;956989;q90;10585,36;10579,42;1009,53;9569,89;9,53703983615106;9,54239457361557;99,9438847615953
20;1582195;1582184;157309;1424875;q90;15821,95;15821,84;1573,09;14248,75;9,94245336383948;9,9425224879028;99,9993047633193
21;725541;723697;71501;652196;q90;7255,41;7236,97;715,01;6521,96;9,85485313717626;9,87996357591644;99,7458448247584
22;882195;882161;87216;794945;q90;8821,95;8821,61;872,16;7949,45;9,88624963868532;9,88663067172546;99,9961459767965
23;308997;307504;29580;277924;q90;3089,97;3075,04;295,8;2779,24;9,57290847483956;9,61938706488371;99,5168237879332
24;126706;124149;12057;112092;q90;1267,06;1241,49;120,57;1120,92;9,51572932615661;9,71171737186767;97,9819424494499
25;1025776;1025747;98861;926886;q90;10257,76;10257,47;988,61;9268,86;9,63767918141973;9,63795165864487;99,9971728720501
26;210827;208747;20048;188699;q90;2108,27;2087,47;200,48;1886,99;9,50921845873631;9,60397035646021;99,0134090984551
27;161615;161067;15536;145531;q90;1616,15;1610,67;155,36;1455,31;9,61296909321536;9,64567540216183;99,6609225628809
