key;prop_keep;prop_keep_pct;quantile;p;terr_num;topo
273;0,241152092830501;24,1152092830501;q75;0,75;27;3
281;0,248256195824121;24,8256195824121;q75;0,75;28;1
283;0,24639505421012;24,639505421012;q75;0,75;28;3
284;0,249759198612984;24,9759198612984;q75;0,75;28;4
11;0,199360279150916;19,9360279150916;q80;0,8;1;1
13;0,198176078568923;19,8176078568923;q80;0,8;1;3
21;0,19994499449945;19,994499449945;q80;0,8;2;1
23;0,197033020821567;19,7033020821567;q80;0,8;2;3
24;0,197154658100046;19,7154658100046;q80;0,8;2;4
31;0,196707818930041;19,6707818930041;q80;0,8;3;1
33;0,191907464740282;19,1907464740282;q80;0,8;3;3
41;0,196109380999104;19,6109380999104;q80;0,8;4;1
43;0,199079122743245;19,9079122743245;q80;0,8;4;3
51;0,193278423147799;19,3278423147799;q80;0,8;5;1
53;0,197839742974969;19,7839742974969;q80;0,8;5;3
54;0,192103712433707;19,2103712433707;q80;0,8;5;4
61;0,192562916289396;19,2562916289396;q80;0,8;6;1
63;0,192576927143915;19,2576927143915;q80;0,8;6;3
64;0,194029850746269;19,4029850746269;q80;0,8;6;4
71;0,196436781609195;19,6436781609195;q80;0,8;7;1
73;0,198359945090673;19,8359945090673;q80;0,8;7;3
81;0,199892771762059;19,9892771762059;q80;0,8;8;1
83;0,191271978457152;19,1271978457152;q80;0,8;8;3
84;0,189992181391712;18,9992181391712;q80;0,8;8;4
91;0,195103929453946;19,5103929453946;q80;0,8;9;1
93;0,196015794379798;19,6015794379798;q80;0,8;9;3
94;0,191464311994113;19,1464311994113;q80;0,8;9;4
101;0,194142654700047;19,4142654700047;q80;0,8;10;1
103;0,191303147749882;19,1303147749882;q80;0,8;10;3
104;0,19902588100468;19,902588100468;q80;0,8;10;4
111;0,197087139606751;19,7087139606751;q80;0,8;11;1
113;0,196508485779273;19,6508485779273;q80;0,8;11;3
114;0,189895737503833;18,9895737503833;q80;0,8;11;4
121;0,193131162719662;19,3131162719662;q80;0,8;12;1
123;0,197725527576985;19,7725527576985;q80;0,8;12;3
124;0,197020192119192;19,7020192119192;q80;0,8;12;4
131;0,193849021435228;19,3849021435228;q80;0,8;13;1
133;0,194369278599804;19,4369278599804;q80;0,8;13;3
141;0,195161743350086;19,5161743350086;q80;0,8;14;1
143;0,194069958834429;19,4069958834429;q80;0,8;14;3
144;0,191328536010159;19,1328536010159;q80;0,8;14;4
151;0,190426904844047;19,0426904844048;q80;0,8;15;1
153;0,198529411764706;19,8529411764706;q80;0,8;15;3
161;0,199019540044413;19,9019540044413;q80;0,8;16;1
163;0,193802329428332;19,3802329428331;q80;0,8;16;3
164;0,20002950287653;20,002950287653;q80;0,8;16;4
171;0,190869368690674;19,0869368690674;q80;0,8;17;1
173;0,197362484816936;19,7362484816936;q80;0,8;17;3
181;0,195446880269815;19,5446880269815;q80;0,8;18;1
183;0,194328824141519;19,4328824141519;q80;0,8;18;3
